id   n  bruteforce_val greedy_val bruteforce_t greedy_t error
9150 20 1995.0 1979.0 0.02816700 0.00000076 0.008020
9151 20 2623.0 2516.0 0.02864200 0.00000077 0.040793
9152 20 2607.0 2564.0 0.02864300 0.00000077 0.016494
9153 20 2089.0 2044.0 0.02863700 0.00000077 0.021541
9154 20 2062.0 2062.0 0.02871900 0.00000079 0.000000
9155 20 2723.0 2696.0 0.02845600 0.00000076 0.009916
9156 20 2193.0 2193.0 0.02872500 0.00000077 0.000000
9157 20 2992.0 2992.0 0.02875200 0.00000078 0.000000
9158 20 2197.0 2197.0 0.03256200 0.00000093 0.000000
9159 20 2551.0 2551.0 0.03094000 0.00000078 0.000000
9160 20 2372.0 2372.0 0.02899000 0.00000077 0.000000
9161 20 2116.0 2115.0 0.02866000 0.00000073 0.000473
9162 20 2368.0 2368.0 0.02870600 0.00000074 0.000000
9163 20 2440.0 2440.0 0.02863900 0.00000077 0.000000
9164 20 1609.0 1609.0 0.02864500 0.00000075 0.000000
9165 20 249.0 228.0 0.02900600 0.00000066 0.084337
9166 20 2184.0 2184.0 0.02863600 0.00000078 0.000000
9167 20 1903.0 1893.0 0.02869600 0.00000076 0.005255
9168 20 2359.0 2345.0 0.02866600 0.00000079 0.005935
9169 20 2550.0 2550.0 0.02862500 0.00000079 0.000000
9170 20 2796.0 2763.0 0.02864000 0.00000078 0.011803
9171 20 1953.0 1953.0 0.02807800 0.00000076 0.000000
9172 20 2532.0 2532.0 0.02864000 0.00000078 0.000000
9173 20 2347.0 2347.0 0.02862600 0.00000077 0.000000
9174 20 2684.0 2684.0 0.02896200 0.00000077 0.000000
9175 20 1903.0 1868.0 0.02903200 0.00000079 0.018392
9176 20 2335.0 2335.0 0.02843400 0.00000073 0.000000
9177 20 2365.0 2365.0 0.02813400 0.00000077 0.000000
9178 20 2249.0 2249.0 0.02865600 0.00000077 0.000000
9179 20 2041.0 2039.0 0.02874200 0.00000075 0.000980
9180 20 2273.0 2246.0 0.02737700 0.00000076 0.011879
9181 20 2435.0 2435.0 0.02863200 0.00000077 0.000000
9182 20 2508.0 2443.0 0.02866000 0.00000079 0.025917
9183 20 1863.0 1863.0 0.02866800 0.00000078 0.000000
9184 20 2959.0 2928.0 0.02872700 0.00000077 0.010477
9185 20 2411.0 2411.0 0.03126600 0.00000122 0.000000
9186 20 2456.0 2408.0 0.03484500 0.00000072 0.019544
9187 20 2333.0 2326.0 0.02863900 0.00000079 0.003000
9188 20 1983.0 1983.0 0.02875700 0.00000082 0.000000
9189 20 2041.0 2041.0 0.02870500 0.00000079 0.000000
9190 20 2338.0 2338.0 0.02869900 0.00000076 0.000000
9191 20 2818.0 2818.0 0.02873800 0.00000078 0.000000
9192 20 2441.0 2441.0 0.02935200 0.00000078 0.000000
9193 20 1821.0 1821.0 0.02864200 0.00000077 0.000000
9194 20 2721.0 2721.0 0.02870300 0.00000079 0.000000
9195 20 2421.0 2421.0 0.02867400 0.00000077 0.000000
9196 20 2475.0 2475.0 0.02871700 0.00000076 0.000000
9197 20 2417.0 2417.0 0.02863000 0.00000077 0.000000
9198 20 2033.0 2026.0 0.02863700 0.00000077 0.003443
9199 20 2168.0 2164.0 0.02876700 0.00000077 0.001845
