id   n  bruteforce_val greedy_val bruteforce_t greedy_t error
9200 22 2625.0 2625.0 0.118736 0.000001 0.000000
9201 22 2215.0 2211.0 0.103620 0.000001 0.001806
9202 22 2479.0 2433.0 0.103537 0.000001 0.018556
9203 22 2474.0 2474.0 0.110645 0.000001 0.000000
9204 22 2877.0 2845.0 0.105895 0.000001 0.011123
9205 22 2581.0 2581.0 0.107950 0.000001 0.000000
9206 22 2401.0 2401.0 0.107566 0.000001 0.000000
9207 22 2647.0 2637.0 0.110831 0.000001 0.003778
9208 22 2425.0 2425.0 0.106441 0.000001 0.000000
9209 22 2265.0 2265.0 0.103978 0.000001 0.000000
9210 22 2576.0 2576.0 0.104745 0.000001 0.000000
9211 22 2525.0 2482.0 0.124507 0.000001 0.017030
9212 22 2561.0 2561.0 0.121938 0.000001 0.000000
9213 22 2677.0 2677.0 0.103773 0.000001 0.000000
9214 22 2442.0 2395.0 0.148733 0.000001 0.019247
9215 22 2646.0 2641.0 0.108838 0.000001 0.001890
9216 22 1868.0 1865.0 0.103424 0.000001 0.001606
9217 22 2505.0 2505.0 0.103771 0.000001 0.000000
9218 22 2244.0 2244.0 0.104048 0.000001 0.000000
9219 22 2345.0 2295.0 0.105595 0.000001 0.021322
9220 22 2651.0 2571.0 0.110975 0.000001 0.030177
9221 22 3032.0 3030.0 0.103509 0.000001 0.000660
9222 22 2393.0 2361.0 0.105392 0.000001 0.013372
9223 22 2811.0 2770.0 0.103402 0.000001 0.014586
9224 22 2315.0 2315.0 0.107562 0.000001 0.000000
9225 22 2564.0 2541.0 0.103536 0.000001 0.008970
9226 22 2250.0 2200.0 0.105313 0.000001 0.022222
9227 22 2453.0 2419.0 0.103864 0.000001 0.013861
9228 22 2520.0 2520.0 0.103990 0.000001 0.000000
9229 22 2157.0 2115.0 0.110160 0.000001 0.019471
9230 22 2633.0 2633.0 0.111699 0.000001 0.000000
9231 22 2260.0 2260.0 0.103721 0.000001 0.000000
9232 22 2318.0 2318.0 0.104113 0.000001 0.000000
9233 22 2405.0 2369.0 0.103742 0.000001 0.014969
9234 22 2626.0 2626.0 0.103529 0.000001 0.000000
9235 22 2827.0 2827.0 0.103570 0.000001 0.000000
9236 22 2358.0 2358.0 0.103890 0.000001 0.000000
9237 22 249.0 231.0 0.111477 0.000001 0.072289
9238 22 2920.0 2920.0 0.107433 0.000001 0.000000
9239 22 2476.0 2436.0 0.103499 0.000001 0.016155
9240 22 2069.0 2069.0 0.103462 0.000001 0.000000
9241 22 2486.0 2486.0 0.103598 0.000001 0.000000
9242 22 2673.0 2673.0 0.103410 0.000001 0.000000
9243 22 2570.0 2570.0 0.103790 0.000001 0.000000
9244 22 2956.0 2911.0 0.104104 0.000001 0.015223
9245 22 2082.0 2082.0 0.103852 0.000001 0.000000
9246 22 2915.0 2915.0 0.116846 0.000001 0.000000
9247 22 2555.0 2555.0 0.104343 0.000001 0.000000
9248 22 2582.0 2569.0 0.103426 0.000001 0.005035
9249 22 2306.0 2306.0 0.103555 0.000001 0.000000
