id   n  bruteforce_val greedy_val bruteforce_t greedy_t error
9350 30 2875.0 2875.0 27.293627 0.000001 0.000000
9351 30 3327.0 3290.0 27.190382 0.000001 0.011121
9352 30 3463.0 3463.0 28.137551 0.000001 0.000000
9353 30 3987.0 3952.0 27.887856 0.000001 0.008779
9354 30 3771.0 3752.0 28.293225 0.000001 0.005038
9355 30 3968.0 3964.0 28.429348 0.000001 0.001008
9356 30 3757.0 3753.0 28.601688 0.000001 0.001065
9357 30 3659.0 3595.0 28.087946 0.000001 0.017491
9358 30 3773.0 3761.0 28.208262 0.000001 0.003180
9359 30 3786.0 3786.0 29.003333 0.000002 0.000000
9360 30 3206.0 3202.0 28.956342 0.000001 0.001248
9361 30 4039.0 4039.0 28.229058 0.000001 0.000000
9362 30 3059.0 3054.0 27.656808 0.000001 0.001635
9363 30 3255.0 3236.0 27.196985 0.000001 0.005837
9364 30 2965.0 2965.0 27.227443 0.000001 0.000000
9365 30 3447.0 3423.0 28.092341 0.000001 0.006963
9366 30 3456.0 3456.0 26.892447 0.000001 0.000000
9367 30 3478.0 3478.0 26.817583 0.000001 0.000000
9368 30 3272.0 3272.0 26.815455 0.000001 0.000000
9369 30 4382.0 4382.0 26.780871 0.000001 0.000000
9370 30 4013.0 3954.0 26.902766 0.000001 0.014702
9371 30 3738.0 3731.0 26.815487 0.000001 0.001873
9372 30 3860.0 3855.0 26.833341 0.000001 0.001295
9373 30 3399.0 3358.0 26.910455 0.000001 0.012062
9374 30 3302.0 3302.0 26.869138 0.000001 0.000000
9375 30 3394.0 3360.0 27.043631 0.000001 0.010018
9376 30 3745.0 3745.0 26.952024 0.000001 0.000000
9377 30 3624.0 3624.0 27.042778 0.000001 0.000000
9378 30 3605.0 3605.0 27.060007 0.000001 0.000000
9379 30 3399.0 3389.0 26.921820 0.000001 0.002942
9380 30 399.0 377.0 27.462748 0.000001 0.055138
9381 30 3711.0 3665.0 26.987217 0.000001 0.012396
9382 30 3875.0 3875.0 26.840848 0.000001 0.000000
9383 30 3598.0 3567.0 26.838090 0.000001 0.008616
9384 30 4175.0 4175.0 26.867518 0.000001 0.000000
9385 30 3944.0 3942.0 28.209680 0.000001 0.000507
9386 30 3674.0 3642.0 27.920423 0.000001 0.008710
9387 30 3896.0 3871.0 27.501143 0.000001 0.006417
9388 30 3608.0 3597.0 29.169944 0.000001 0.003049
9389 30 3139.0 3103.0 28.037046 0.000001 0.011469
9390 30 3501.0 3487.0 28.307664 0.000002 0.003999
9391 30 3310.0 3296.0 27.426524 0.000001 0.004230
9392 30 3314.0 3314.0 28.343090 0.000001 0.000000
9393 30 3232.0 3188.0 27.885467 0.000001 0.013614
9394 30 3716.0 3716.0 28.315877 0.000001 0.000000
9395 30 3413.0 3379.0 27.772869 0.000001 0.009962
9396 30 4005.0 4005.0 28.684995 0.000001 0.000000
9397 30 3392.0 3370.0 27.432325 0.000001 0.006486
9398 30 3477.0 3467.0 27.276895 0.000001 0.002876
9399 30 3730.0 3730.0 28.205769 0.000001 0.000000
