id   n  bruteforce_val greedy_val bruteforce_t greedy_t error
9100 15 2358.0 2321.0 0.001191 0.000000 0.015691
9101 15 1726.0 1726.0 0.000810 0.000000 0.000000
9102 15 2064.0 2064.0 0.000810 0.000001 0.000000
9103 15 1485.0 1477.0 0.001295 0.000001 0.005387
9104 15 1479.0 1479.0 0.000838 0.000001 0.000000
9105 15 1852.0 1852.0 0.000838 0.000001 0.000000
9106 15 1987.0 1987.0 0.000814 0.000001 0.000000
9107 15 1636.0 1636.0 0.000815 0.000000 0.000000
9108 15 1664.0 1664.0 0.000809 0.000000 0.000000
9109 15 1806.0 1806.0 0.000811 0.000001 0.000000
9110 15 2084.0 2066.0 0.000811 0.000001 0.008637
9111 15 1454.0 1454.0 0.000811 0.000000 0.000000
9112 15 1627.0 1610.0 0.000809 0.000000 0.010449
9113 15 2087.0 2082.0 0.000816 0.000000 0.002396
9114 15 1778.0 1778.0 0.000811 0.000000 0.000000
9115 15 1874.0 1822.0 0.000811 0.000000 0.027748
9116 15 1634.0 1596.0 0.000810 0.000001 0.023256
9117 15 1817.0 1817.0 0.000811 0.000000 0.000000
9118 15 1921.0 1921.0 0.000812 0.000001 0.000000
9119 15 1769.0 1769.0 0.000812 0.000001 0.000000
9120 15 1787.0 1776.0 0.000821 0.000000 0.006156
9121 15 2021.0 2021.0 0.000813 0.000001 0.000000
9122 15 1778.0 1778.0 0.000810 0.000001 0.000000
9123 15 1990.0 1990.0 0.000810 0.000001 0.000000
9124 15 1470.0 1470.0 0.000812 0.000000 0.000000
9125 15 2122.0 2122.0 0.000810 0.000001 0.000000
9126 15 199.0 182.0 0.000819 0.000000 0.085427
9127 15 1201.0 1201.0 0.000831 0.000000 0.000000
9128 15 1915.0 1915.0 0.000809 0.000001 0.000000
9129 15 1833.0 1833.0 0.000809 0.000001 0.000000
9130 15 1274.0 1274.0 0.000811 0.000001 0.000000
9131 15 1984.0 1984.0 0.000809 0.000000 0.000000
9132 15 2238.0 2220.0 0.000810 0.000000 0.008043
9133 15 1948.0 1948.0 0.000809 0.000001 0.000000
9134 15 1609.0 1609.0 0.000833 0.000001 0.000000
9135 15 1763.0 1763.0 0.000810 0.000000 0.000000
9136 15 2017.0 2017.0 0.000812 0.000001 0.000000
9137 15 1846.0 1846.0 0.000818 0.000000 0.000000
9138 15 2011.0 2011.0 0.000810 0.000000 0.000000
9139 15 1821.0 1806.0 0.000810 0.000000 0.008237
9140 15 2167.0 2167.0 0.000811 0.000000 0.000000
9141 15 1860.0 1834.0 0.000813 0.000000 0.013978
9142 15 1439.0 1439.0 0.000810 0.000001 0.000000
9143 15 1641.0 1641.0 0.000811 0.000000 0.000000
9144 15 1776.0 1774.0 0.000811 0.000001 0.001126
9145 15 1995.0 1995.0 0.000809 0.000000 0.000000
9146 15 2008.0 1965.0 0.000809 0.000001 0.021414
9147 15 1381.0 1381.0 0.000811 0.000001 0.000000
9148 15 1771.0 1771.0 0.000812 0.000001 0.000000
9149 15 1873.0 1873.0 0.000811 0.000000 0.000000
