id   n  bruteforce_val greedy_val bruteforce_t greedy_t error
9250 25 2427.0 2411.0 0.870602 0.000001 0.006593
9251 25 2846.0 2823.0 0.845825 0.000001 0.008082
9252 25 2538.0 2538.0 0.844516 0.000001 0.000000
9253 25 3370.0 3370.0 0.861594 0.000001 0.000000
9254 25 2884.0 2884.0 0.848065 0.000001 0.000000
9255 25 2595.0 2595.0 0.843035 0.000001 0.000000
9256 25 3048.0 3029.0 0.847490 0.000001 0.006234
9257 25 2717.0 2707.0 0.844047 0.000001 0.003681
9258 25 3290.0 3287.0 0.912659 0.000001 0.000912
9259 25 2581.0 2569.0 0.853529 0.000001 0.004649
9260 25 2766.0 2758.0 0.841948 0.000001 0.002892
9261 25 2897.0 2878.0 0.936522 0.000001 0.006559
9262 25 2597.0 2597.0 0.838938 0.000001 0.000000
9263 25 2564.0 2564.0 0.845489 0.000001 0.000000
9264 25 3075.0 3074.0 0.841625 0.000001 0.000325
9265 25 2666.0 2666.0 0.855851 0.000001 0.000000
9266 25 3029.0 3011.0 0.866186 0.000001 0.005943
9267 25 3341.0 3295.0 0.853747 0.000001 0.013768
9268 25 3062.0 3033.0 0.846708 0.000001 0.009471
9269 25 3060.0 3030.0 0.857940 0.000001 0.009804
9270 25 3307.0 3253.0 0.837086 0.000001 0.016329
9271 25 2758.0 2739.0 0.841702 0.000001 0.006889
9272 25 2710.0 2680.0 0.838963 0.000001 0.011070
9273 25 2934.0 2934.0 0.837975 0.000001 0.000000
9274 25 3239.0 3239.0 0.862371 0.000001 0.000000
9275 25 3283.0 3283.0 0.848030 0.000001 0.000000
9276 25 2937.0 2861.0 0.867400 0.000001 0.025877
9277 25 3582.0 3543.0 0.839520 0.000001 0.010888
9278 25 3442.0 3425.0 0.842391 0.000001 0.004939
9279 25 2733.0 2733.0 0.839227 0.000001 0.000000
9280 25 2655.0 2655.0 0.837337 0.000001 0.000000
9281 25 3058.0 3058.0 0.838332 0.000001 0.000000
9282 25 2694.0 2694.0 0.861510 0.000001 0.000000
9283 25 299.0 288.0 0.887322 0.000001 0.036789
9284 25 2953.0 2915.0 0.844843 0.000001 0.012868
9285 25 3071.0 3061.0 0.839803 0.000001 0.003256
9286 25 3024.0 3024.0 0.929210 0.000001 0.000000
9287 25 3088.0 3088.0 0.831059 0.000001 0.000000
9288 25 2971.0 2949.0 0.837222 0.000001 0.007405
9289 25 2543.0 2543.0 0.850149 0.000001 0.000000
9290 25 2791.0 2788.0 0.864494 0.000001 0.001075
9291 25 3039.0 3034.0 0.842305 0.000001 0.001645
9292 25 2956.0 2956.0 0.848481 0.000001 0.000000
9293 25 3210.0 3164.0 0.849211 0.000001 0.014330
9294 25 2746.0 2746.0 0.832044 0.000001 0.000000
9295 25 3170.0 3170.0 0.837230 0.000001 0.000000
9296 25 3297.0 3297.0 0.838399 0.000001 0.000000
9297 25 3135.0 3082.0 0.844231 0.000001 0.016906
9298 25 3011.0 3011.0 0.862423 0.000001 0.000000
9299 25 2901.0 2901.0 0.847164 0.000001 0.000000
