id   n  bruteforce_val greedy_val bruteforce_t greedy_t error
9300 27 3538.0 3538.0 3.435684 0.000001 0.000000
9301 27 3609.0 3609.0 3.494527 0.000001 0.000000
9302 27 3256.0 3216.0 3.526843 0.000001 0.012285
9303 27 2553.0 2550.0 3.456428 0.000001 0.001175
9304 27 2932.0 2932.0 3.686045 0.000001 0.000000
9305 27 3100.0 3100.0 3.488751 0.000001 0.000000
9306 27 2820.0 2806.0 3.475809 0.000001 0.004965
9307 27 3264.0 3264.0 3.384714 0.000001 0.000000
9308 27 3043.0 3043.0 3.394054 0.000001 0.000000
9309 27 2838.0 2838.0 3.428081 0.000001 0.000000
9310 27 3488.0 3468.0 3.412360 0.000001 0.005734
9311 27 3490.0 3490.0 3.412600 0.000001 0.000000
9312 27 2880.0 2880.0 3.389937 0.000001 0.000000
9313 27 2997.0 2948.0 3.407245 0.000001 0.016350
9314 27 2805.0 2792.0 3.388565 0.000001 0.004635
9315 27 3240.0 3240.0 3.408917 0.000001 0.000000
9316 27 2868.0 2835.0 3.388919 0.000001 0.011506
9317 27 3019.0 2993.0 3.401297 0.000001 0.008612
9318 27 3359.0 3359.0 3.387170 0.000001 0.000000
9319 27 2812.0 2812.0 3.392938 0.000001 0.000000
9320 27 3306.0 3245.0 3.397672 0.000001 0.018451
9321 27 2533.0 2533.0 3.394845 0.000001 0.000000
9322 27 2773.0 2773.0 3.578653 0.000001 0.000000
9323 27 3228.0 3228.0 3.394120 0.000001 0.000000
9324 27 3379.0 3379.0 3.396394 0.000001 0.000000
9325 27 3477.0 3458.0 3.402447 0.000001 0.005464
9326 27 3391.0 3391.0 3.371409 0.000001 0.000000
9327 27 3063.0 3025.0 3.451474 0.000001 0.012406
9328 27 2924.0 2914.0 3.410712 0.000001 0.003420
9329 27 3244.0 3244.0 3.448616 0.000001 0.000000
9330 27 3261.0 3261.0 3.493630 0.000001 0.000000
9331 27 3494.0 3494.0 3.702482 0.000001 0.000000
9332 27 3333.0 3333.0 3.428824 0.000001 0.000000
9333 27 3398.0 3365.0 3.475310 0.000001 0.009712
9334 27 3080.0 3080.0 3.538138 0.000001 0.000000
9335 27 3315.0 3315.0 3.597917 0.000001 0.000000
9336 27 3458.0 3458.0 3.478254 0.000001 0.000000
9337 27 3546.0 3541.0 3.534299 0.000001 0.001410
9338 27 349.0 312.0 3.522073 0.000001 0.106017
9339 27 3133.0 3133.0 3.394675 0.000001 0.000000
9340 27 2970.0 2970.0 3.417063 0.000001 0.000000
9341 27 3977.0 3956.0 3.458439 0.000001 0.005280
9342 27 2954.0 2934.0 3.367853 0.000001 0.006770
9343 27 3156.0 3156.0 3.504672 0.000001 0.000000
9344 27 3490.0 3441.0 3.708795 0.000001 0.014040
9345 27 2884.0 2884.0 3.603101 0.000001 0.000000
9346 27 3124.0 3117.0 3.432852 0.000001 0.002241
9347 27 2545.0 2545.0 3.634236 0.000001 0.000000
9348 27 2846.0 2845.0 3.515479 0.000001 0.000351
9349 27 3019.0 3019.0 3.445339 0.000001 0.000000
