id   n  bruteforce_val greedy_val bruteforce_t greedy_t error
9050 10 798.0 798.0 0.000031 0.000000 0.000000
9051 10 942.0 942.0 0.000027 0.000000 0.000000
9052 10 740.0 740.0 0.000028 0.000000 0.000000
9053 10 956.0 956.0 0.000027 0.000000 0.000000
9054 10 1501.0 1449.0 0.000027 0.000000 0.034644
9055 10 1351.0 1351.0 0.000027 0.000000 0.000000
9056 10 1375.0 1375.0 0.000027 0.000000 0.000000
9057 10 1153.0 1153.0 0.000027 0.000000 0.000000
9058 10 1234.0 1220.0 0.000027 0.000000 0.011345
9059 10 1260.0 1222.0 0.000028 0.000000 0.030159
9060 10 1319.0 1319.0 0.000027 0.000000 0.000000
9061 10 1169.0 1169.0 0.000027 0.000001 0.000000
9062 10 99.0 90.0 0.000027 0.000000 0.090909
9063 10 1023.0 1023.0 0.000027 0.000000 0.000000
9064 10 1389.0 1389.0 0.000027 0.000000 0.000000
9065 10 1168.0 1097.0 0.000026 0.000000 0.060788
9066 10 1024.0 1024.0 0.000027 0.000000 0.000000
9067 10 1195.0 1195.0 0.000026 0.000000 0.000000
9068 10 872.0 872.0 0.000026 0.000000 0.000000
9069 10 1099.0 1099.0 0.000027 0.000000 0.000000
9070 10 1286.0 1286.0 0.000027 0.000000 0.000000
9071 10 1178.0 1178.0 0.000027 0.000000 0.000000
9072 10 1217.0 1192.0 0.000027 0.000000 0.020542
9073 10 939.0 939.0 0.000028 0.000000 0.000000
9074 10 784.0 756.0 0.000027 0.000000 0.035714
9075 10 1240.0 1240.0 0.000026 0.000000 0.000000
9076 10 917.0 839.0 0.000027 0.000000 0.085060
9077 10 1033.0 1033.0 0.000027 0.000000 0.000000
9078 10 1386.0 1386.0 0.000026 0.000000 0.000000
9079 10 1266.0 1266.0 0.000027 0.000000 0.000000
9080 10 1054.0 933.0 0.000027 0.000000 0.114801
9081 10 980.0 934.0 0.000028 0.000000 0.046939
9082 10 952.0 952.0 0.000027 0.000000 0.000000
9083 10 1446.0 1446.0 0.000026 0.000001 0.000000
9084 10 1196.0 1196.0 0.000028 0.000000 0.000000
9085 10 1062.0 983.0 0.000026 0.000000 0.074388
9086 10 748.0 748.0 0.000027 0.000000 0.000000
9087 10 1059.0 1059.0 0.000027 0.000000 0.000000
9088 10 1578.0 1578.0 0.000028 0.000000 0.000000
9089 10 694.0 694.0 0.000027 0.000000 0.000000
9090 10 1143.0 1143.0 0.000026 0.000000 0.000000
9091 10 1043.0 1043.0 0.000027 0.000000 0.000000
9092 10 1436.0 1436.0 0.000027 0.000000 0.000000
9093 10 1368.0 1368.0 0.000027 0.000000 0.000000
9094 10 1315.0 1315.0 0.000027 0.000000 0.000000
9095 10 1005.0 967.0 0.000027 0.000000 0.037811
9096 10 1187.0 1187.0 0.000027 0.000000 0.000000
9097 10 959.0 959.0 0.000026 0.000000 0.000000
9098 10 925.0 925.0 0.000027 0.000000 0.000000
9099 10 1243.0 1243.0 0.000027 0.000000 0.000000
