100 30 0.2401856 0.0005142 1.08e-06 0.00034147
200 30 0.310282 0.0005226 1.08e-06 0.00221382
300 30 0.2572793 0.0005063 1.12e-06 0.00220078
400 30 0.3054627 0.00054 1.09e-06 0.00292549
500 30 0.3156559 0.0005678 1.17e-06 0.00322449
600 30 0.2389085 0.000485 1.07e-06 0.00300181
700 30 0.2468498 0.0004928 1.08e-06 0.00271453
800 30 0.5277701 0.0005474 1.08e-06 0.00212498
900 30 0.3531199 0.0005179 1.08e-06 0.00407506
1000 30 0.2865618 0.0005753 1.14e-06 0.00456519
1100 30 0.4705662 0.0005736 1.08e-06 0.00636745
1200 30 0.5496101 0.000517 1.07e-06 0.00564722
1300 30 0.2848147 0.0005154 1.06e-06 0.00741084
1400 30 0.2842584 0.0005578 1.09e-06 0.00175224
1500 30 0.2979138 0.0005255 1.13e-06 0.0054553
1600 30 0.1968552 0.0005155 1.06e-06 0.00446593
1700 30 0.3574218 0.0005476 1.12e-06 0.00692878
1800 30 0.2357843 0.0004993 1.08e-06 0.00435457
1900 30 0.2142777 0.0005492 1.09e-06 0.00382974
2000 30 0.2739701 0.0005255 1.09e-06 0.00253179
