100 30 0.4839803 0.0006039 1.11e-06 0.00708581
200 30 0.2710459 0.001031 1.07e-06 0.0012422
300 30 0.1617428 0.0015111 1.12e-06 0.00213431
400 30 0.1712287 0.0021849 1.13e-06 0.00167572
500 30 0.2561419 0.0026928 1.14e-06 0.00279659
600 30 0.3110317 0.0033763 1.12e-06 0.0040756
700 30 0.2994091 0.0035115 1.08e-06 0.00576359
800 30 0.2806336 0.0043471 1.1e-06 0.00642836
900 30 0.1929642 0.0048622 1.11e-06 0.00214824
1000 30 0.2254573 0.0053143 1.07e-06 0.00052812
1100 30 0.3819009 0.0056218 1.08e-06 0.00696239
1200 30 0.1355582 0.0063556 1.09e-06 0.00321237
1300 30 0.2596267 0.0069658 1.08e-06 0.00223714
1400 30 0.4800321 0.0082127 1.14e-06 0.00511921
1500 30 0.3034799 0.0077503 1.17e-06 0.00206315
1600 30 0.2952828 0.0084284 1.08e-06 0.00432128
1700 30 0.5834589 0.0096721 1.09e-06 0.00455829
1800 30 0.3472906 0.0098109 1.1e-06 0.00262332
1900 30 0.2536135 0.0102009 1.07e-06 0.00555931
2000 30 0.2871011 0.0107695 1.08e-06 0.00462031
