0.05 30 2.4e-05 0.0005376 1.03e-06 0.03809779
0.1 30 0.0001486 0.0005331 1.02e-06 0.01464663
0.15 30 0.0005922 0.000503 1.05e-06 0.00475679
0.2 30 0.0014691 0.0005092 1.03e-06 0.00590893
0.25 30 0.0023711 0.0005131 1.03e-06 0.01027443
0.3 30 0.0030139 0.0005462 1.18e-06 0.00682848
0.35 30 0.0028569 0.0005011 1.04e-06 0.00144921
0.4 30 0.0027536 0.0005075 1.04e-06 0.00151304
0.45 30 0.0023035 0.0005054 1.05e-06 0.00362678
0.5 30 0.0008012 0.0004883 1.09e-06 0.00543713
0.55 30 0.0005263 0.0004834 1.07e-06 0.00164436
0.6 30 0.0003278 0.0004765 1.08e-06 0.00904355
0.65 30 0.000206 0.0005126 1.17e-06 0.00376691
0.7 30 0.0001237 0.0005087 1.09e-06 0.00501953
0.75 30 8.98e-05 0.0004803 1.09e-06 0.00130522
0.8 30 7.28e-05 0.000515 1.12e-06 0.00346252
0.85 30 7.25e-05 0.000495 1.08e-06 0.00068242
0.9 30 6.79e-05 0.0005105 1.1e-06 0.00206435
0.95 30 7.14e-05 0.0005336 1.16e-06 0.0022199
