0.05 30 5.44e-05 0.0005176 1.13e-06 0.01460725
0.1 30 0.0006211 0.0005657 1.27e-06 0.00875343
0.15 30 0.0027953 0.000486 1.07e-06 0.00711899
0.2 30 0.0084335 0.0004779 1.06e-06 0.00800336
0.25 30 0.0179007 0.0004695 1.05e-06 0.00987228
0.3 30 0.0241399 0.0005322 1.1e-06 0.00822524
0.35 30 0.0298599 0.0004692 1.08e-06 0.00899004
0.4 30 0.028859 0.0004638 1.06e-06 0.00679328
0.45 30 0.0257423 0.0005169 1.16e-06 0.00491366
0.5 30 0.0181185 0.0005023 1.08e-06 0.00451285
0.55 30 0.0112194 0.0005004 1.09e-06 0.00348139
0.6 30 0.0053961 0.0005517 1.12e-06 0.0053507
0.65 30 0.0021655 0.000507 1.21e-06 0.00227891
0.7 30 0.0008744 0.0005046 1.09e-06 0.00258811
0.75 30 0.0003546 0.0005091 1.1e-06 0.00048729
0.8 30 0.0001632 0.0005086 1.08e-06 0.00027993
0.85 30 0.0001042 0.0005288 1.1e-06 0.00027344
0.9 30 7.08e-05 0.000502 1.08e-06 0.0002808
0.95 30 8.44e-05 0.0005115 1.22e-06 0.0
