100 30 0.0353473 0.0007285 1.51e-06 0.00679862
200 30 0.0297587 0.001582 1.73e-06 0.00524793
300 30 0.0324573 0.00213 1.6e-06 0.00506471
400 30 0.0304168 0.0031394 1.62e-06 0.0051742
500 30 0.0618494 0.0035973 1.65e-06 0.00480276
600 30 0.0346617 0.0045501 1.55e-06 0.0024843
700 30 0.0245308 0.0054092 1.58e-06 0.00557771
800 30 0.0175654 0.0054205 1.51e-06 0.00103602
900 30 0.0240443 0.0062974 1.58e-06 0.00193905
1000 30 0.0391129 0.008652 1.65e-06 0.006991
1100 30 0.0286479 0.0084403 1.8e-06 0.0003693
1200 30 0.0191755 0.0096692 1.7e-06 0.00374147
1300 30 0.019049 0.0119771 1.94e-06 0.00485508
1400 30 0.025418 0.0104513 1.53e-06 0.00425834
1500 30 0.0130367 0.012784 1.65e-06 0.0046129
1600 30 0.0274643 0.0109396 1.49e-06 0.00491571
1700 30 0.029222 0.0137544 1.82e-06 0.00614395
1800 30 0.0589011 0.0136173 1.61e-06 0.00877965
1900 30 0.0303986 0.0141942 1.58e-06 0.00513148
2000 30 0.0244957 0.0164967 1.71e-06 0.0043323
