100 30 0.0301818 0.0008136 1.65e-06 0.00267942
200 30 0.0375133 0.0007721 1.6e-06 0.00352902
300 30 0.0495625 0.0007756 1.73e-06 0.00944292
400 30 0.0304842 0.0008306 1.79e-06 0.00464758
500 30 0.025433 0.0008425 1.83e-06 0.00668892
600 30 0.0533137 0.0008175 1.88e-06 0.00102375
700 30 0.0686077 0.000715 1.7e-06 0.00462165
800 30 0.0360616 0.0006732 1.61e-06 0.00744829
900 30 0.0386569 0.0008093 1.71e-06 0.00461048
1000 30 0.0248632 0.0007146 1.5e-06 0.00207249
1100 30 0.0571235 0.0006744 1.47e-06 0.00475921
1200 30 0.0367971 0.0007012 1.59e-06 0.00454408
1300 30 0.0372345 0.0006876 1.69e-06 0.0037697
1400 30 0.0655166 0.0007516 1.56e-06 0.00428699
1500 30 0.0785773 0.0008327 1.63e-06 0.00815161
1600 30 0.0757717 0.0007949 1.87e-06 0.00484435
1700 30 0.0546391 0.0007315 1.7e-06 0.00437889
1800 30 0.0687698 0.0007867 1.6e-06 0.00388711
1900 30 0.0491158 0.0007317 1.68e-06 0.00658195
2000 30 0.0271063 0.0007661 1.54e-06 0.00553524
